関連マンガ・アニメ作品,作者 / 制作,年代・区分,編（地域）,英語タグ / 検索フック,関連する絵巻物,関連性・引用・共通点
戦国鳥獣戯画 / オドロキ鳥獣戯画,ILCA / 住田崇 ほか,現代トレンド,⛩️ 京都編,#ChojuGiga #AnimeHistory,鳥獣人物戯画（甲巻）,鳥獣戯画の墨画タッチ・動物キャラクターをそのまま使用した歴史コント・日常パロディアニメ。
鬼灯の冷徹,江口夏実,平成〜現代,⛩️ 京都編,#Hoozuki #HellScroll #DarkFantasy,地獄草紙,地獄草紙の世界観そのもの。 閻魔大王の補佐官を中心に、八大地獄や獄卒・責め苦の情景をコメディ化。
ドロロンえん魔くん / デビルマン,永井豪,昭和,⛩️ 京都編,#GoNagai #Devilman,地獄草紙,閻魔大王や地獄の炎・責め苦・悪魔造形に中世地獄絵のグロテスク美学を少年漫画へダイレクトに導入。
地獄先生ぬ〜べ〜,真倉翔 / 岡野剛,平成,⛩️ 京都編,#Nube #JapaneseDemons,地獄草紙 / 九相図,焦熱地獄などの仏教地獄観、鬼の手や悪霊・獄卒、因果応報の設定ベース。
東京喰種トーキョーグール,石田スイ,平成〜現代,⛩️ 京都編,#TokyoGhoul #Hunger,餓鬼草紙 / 九相図,人肉しか食べられない「喰種（グール）」の飢餓感・苦悩は、仏教の「食人餓鬼・不浄観」の概念と共通。
どろろ,手塚治虫,昭和,⛩️ 京都編,#Dororo #Yokai,餓鬼草紙,戦乱と飢餓の中で民衆に群がる魑魅魍魎や餓鬼たちの生々しい描写。
進撃の巨人,諫山創,平成〜現代,⛩️ 京都編,#AttackOnTitan #Shingeki,餓鬼草紙,生殖器がなく腹だけが膨らんだ無知性巨人が人間を捕食する不気味なシルエット・行動の原型。
BLEACH,久保帯人,平成,⛩️ 京都編,#Bleach #Hollow,餓鬼草紙,人間の魂を貪り食う異形「虚（ホロウ）」の飢餓感と空虚さのモチーフ。
平家物語,山田尚子 / サイエンスSARU,現代トレンド,⚔️ 鎌倉編,#HeikeStory #ScienceSARU #BattleScene,平治物語絵巻（三条殿夜討）,平治の乱から壇ノ浦に至る栄華と没落。絵巻物的な色彩設計や横スクロール的な画面遷移を多用。
逃げ上手の若君,松井優征,現代トレンド,⚔️ 鎌倉編,#ElusiveSamurai #SamuraiAction,平治物語絵巻 / 蒙古襲来絵詞,鎌倉幕府滅亡後の武士の戦い。当時の容赦ない戦術、名誉や恩賞に対する執念をリアルかつコミカルに描写。
もののけ姫,宮崎駿 / スタジオジブリ,平成（名作アニメ）,⚔️ 鎌倉編,#PrincessMononoke #Ghibli #Samurai,平治物語絵巻（三条殿夜討）,甲冑武者たちの騎馬射術や矢襖、集落炎上の群衆シーンなど、中世合戦絵巻のダイナミズムをアニメ化。
火の鳥（乱世編）,手塚治虫,昭和,⚔️ 鎌倉編,#Phoenix #OsamuTezuka,平治物語絵巻（三条殿夜討）,保元・平治の乱から源平合戦の動乱を背景に、武士たちの生々しい権力闘争と合戦を活写。
ドリフターズ（DRIFTERS）,平野耕太,平成〜現代,⚔️ 鎌倉編,#Drifters #SamuraiBattle,平治物語絵巻（三条殿夜討）,那須与一や源九郎判官義経など、中世武士たちが異世界で繰り広げる狂気的な合戦・首級争い。
鬼滅の刃,吾峠呼世晴,現代トレンド,⚔️ 鎌倉編,#DemonSlayer #Kimetsu #MonsterHunter,土蜘蛛草紙,鬼殺隊のモデルとなった「源頼光と四天王」。 那田蜘蛛山編の蜘蛛の鬼や、名刀を振るう剣士たちの原形。
Fate/Grand Order (FGO),TYPE-MOON,現代トレンド,⚔️ 鎌倉編,#FateGO #FGO #Raikou,土蜘蛛草紙,源頼光・渡辺綱・坂田金時が主要キャラ化。 「土蜘蛛退治」「酒呑童子退治」が宝具やシナリオの中核。
刀剣乱舞,DMM GAMES / Nitroplus,現代トレンド,⚔️ 鎌倉編,#ToukenRanbu #Katana #Hizamaru,土蜘蛛草紙,土蜘蛛を斬ったとされる名刀**「膝丸（蜘蛛切）」や「髭切」**が刀剣男士として登場し世界的人気。
ぬらりひょんの孫,椎橋寛,平成,⚔️ 鎌倉編,#Nura #Yokai #Tsuchigumo,土蜘蛛草紙,「土蜘蛛」が京都編の最強ボスとして登場。 頼光一派の陰陽術や退魔の血統ドラマ。
うしおととら,藤田和日郎,平成,⚔️ 鎌倉編,#UshioAndTora #MonsterSlayer,土蜘蛛草紙,妖槍「獣の槍」での妖怪退治アクション。作中に登場する土蜘蛛や巨大怪異の圧倒的恐怖感。
アンゴルモア 元寇合戦記,たかぎ七彦,現代トレンド,⚔️ 鎌倉編,#Angolmois #MongolInvasion,蒙古襲来絵詞,直球の元寇作品。 蒙古軍の武具・戦術や火薬兵器（てつはう）など、蒙古襲来絵詞の描写がそのまま映像化。
Ghost of Tsushima,Sucker Punch / ソニー,現代トレンド（ゲーム）,⚔️ 鎌倉編,#GhostOfTsushima #Samurai #RealHistory,蒙古襲来絵詞,世界的大ヒット作。当時の蒙古兵の鎧兜、武士の一騎打ちや集団戦のビジュアル考証のベース。
シュトヘル（Shuthell）,伊藤悠,平成,⚔️ 鎌倉編,#Shuthell #MongolHistory,蒙古襲来絵詞,モンゴル帝国の拡大と、文字（文化）を守るために戦う者たちを描いた重厚な歴史アクション。
